1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Albania,,,,,,,,,0.016870222300325102,0.01800460268038446,0.0209221391651737,0.023167299123676682,0.022762634702933212,0.024790260518513844,0.032166865615379785,0.03173298522135731,0.031206565623138526,0.031885616676683645,0.026354427751494207,0.01705826467960807,0.0159236567943759,0.01729818780889621,0.0190826916638768,0.022012747040865515,0.02433145412911606,0.019781517567168585,0.021111832673716198,0.022781156581795692,0.022968178943871043,0.024795487496428306,0.025294553843618686,0.02703423379074108,0.027975819894362663,0.02947976305057501,0.030130658446033003,0.03027537710022009,0.03263767582973246,0.036356490124791196,0.0368334144642022,0.03795124372410897,0.03973900396996973,0.03942714507377531,0.03903256929288009,0.039833724587791004,0.04101781544740858,0.04320558137808827,0.02797983854676519
Algeria,0.06306054464556107,0.062294188449571915,0.06313286959584398,0.028725754971765282,0.030338149068444984,0.029612500351080862,0.036229145294530536,0.03507014028056112,0.030137949213601616,0.030910157483868057,0.036572558225736705,0.0417421626611056,0.04339307324381951,0.047751214281208605,0.05808255324495822,0.05703556866347564,0.05602620954398041,0.05434473159776042,0.05008379432571522,0.045984997802135476,0.045709929698749256,0.04255903349807798,0.040642785403414795,0.04156178030100156,0.042543219465163304,0.0395501983286479,0.03936872802127112,0.037441729947657175,0.03582950173091969,0.03590742171377774,0.03652055697454066,0.038725822000697394,0.03892113349265961,0.04019606870342624,0.03872032984338166,0.03698534542916958,0.038245839845545644,0.04087648619435983,0.04036499346180645,0.040719317335776876,0.04249046814197555,0.04202927882345004,0.0415616774544058,0.042060627429875756,0.042396720045595776,0.04283447911158118,0.04228895076829682
Andorra,1.0,1.0,0.9779871444923836,0.4225386692855389,0.4215225056227227,0.4008219973224233,0.45467307380810973,0.4088176352705411,0.35418680256567964,0.3493073417264564,0.38736846440559297,0.4176837259125044,0.4110528438886648,0.4411152463256166,0.5429415090783439,0.564860029976309,0.5846846250579125,0.5634707240692121,0.5283788393373574,0.4980361016973186,0.4819164855021316,0.44810543657331137,0.43488449949782393,0.43896952493171226,0.45632524070329555,0.4762583278776909,0.4706725644198841,0.45595528525123413,0.4351735742687802,0.4359370535383573,0.43458020927741614,0.46464832933357947,0.46980499266965237,0.48204522677885714,0.4722124130295771,0.43367867303666324,0.401489381263216,0.4104352952736563,0.3767240309633575,0.3623885611744268,0.3730592350929602,0.3745241468374437,0.37990014706295605,0.3857459660582892,0.39328197679763194,0.405308617922384,0.4757276624995429
Angola,,,,,,,,,0.01880326860557069,0.017643608140426877,0.01958361648236239,0.022141693161487355,0.0231083962427246,0.02542105595155491,0.03169567129484199,0.03253879998066045,0.03451585147925078,0.031885616676683645,0.02783751316238302,0.02599152049685918,0.023546683983172872,0.016337177375068644,0.01600267827251423,0.018263617374538053,0.020180242912811175,0.019268045339597695,0.01890630169213238,0.01751251302843922,0.016323162170562577,0.016223423957330174,0.01757023976270907,0.017701474781039117,0.018436326391259816,0.0215417588632778,0.02402244767458507,0.027144058546710325,0.030798933529465847,0.03252431954406996,0.03148832192728765,0.031556039173014146,0.03295861011752683,0.03345187498192963,0.03285030489803947,0.03250350273259536,0.03090584839403578,0.030309777616966797,0.02472353412409173
Antigua and Barbuda,,,,,,0.03972362914626497,0.04756762593812429,0.04759519038076152,0.04542658817327124,0.04877938721176842,0.05623854533473363,0.0668125306257336,0.0757794041376131,0.090645303728001,0.1278193126845511,0.14180728134216505,0.1548083923489311,0.15699237655394932,0.15167514497159892,0.14637777746267175,0.14593862051441317,0.14607358594179023,0.14830934047539338,0.13770017674468427,0.14297574889189443,0.13993401881875714,0.13616703221300527,0.1295284564019746,0.12650182737961266,0.1163366598584022,0.11221883496745488,0.11800299468750641,0.12035828329283232,0.12582728887389488,0.13435200473386336,0.13665074167516597,0.13854923232508964,0.12842684484622188,0.11424180816844677,0.11039841169845178,0.11658346763098935,0.11238326538872986,0.11387543673951123,0.11666187263971496,0.12025886635656634,0.12419865104326125,0.1148902917645797
Argentina,0.16672490507140028,0.16449026866213975,0.16549264770626046,0.07252639332187577,0.0698199746609179,0.07015063709473567,0.07596782031207819,0.07665330661322645,0.0690624725419559,0.06574613058977483,0.07024155186260579,0.07980353948013173,0.08142684262087248,0.08093105405916862,0.10724382735440095,0.11118632048864607,0.10930571182738764,0.09483440356815234,0.08552953564595785,0.09107667002254584,0.10062395889212004,0.10227896760021966,0.10478741211918313,0.10061057254565904,0.10494529774897224,0.1065583240266492,0.10467695097594745,0.09333516590500407,0.08555994984084113,0.07972019091361265,0.06813874927906402,0.0732877976739893,0.07727993894724158,0.08236671594844266,0.08481823300915277,0.08592338110830784,0.09074193251815758,0.0903999213913727,0.09610667277534385,0.10085333027890728,0.1018434809952439,0.1008182265012866,0.09420459548320016,0.09532072040306941,0.09176150466069755,0.09451046972269384,0.09390622771236119
Australia,0.6202856011368136,0.6116548951922421,0.6015673153121422,0.2683525656764056,0.2732201259097025,0.26600694671996855,0.30673289779169594,0.2925851703406814,0.26104911694930144,0.27259600198546996,0.31632379893330037,0.33905393547798934,0.354578459056071,0.4032675203431527,0.5130992021109505,0.5310158100855775,0.5664835528492951,0.5539809572011515,0.5298619247482462,0.4980361016973186,0.4917981874135351,0.49341021416803954,0.49514563106796117,0.5085962187349365,0.5219411599287599,0.5134850643765805,0.5074314141129477,0.4914613613716799,0.47268576573100546,0.46980199591504135,0.4695970997775398,0.47592968637827415,0.47884240756732876,0.48204522677885714,0.4693491892304609,0.4542559092454417,0.4741197021237474,0.5057482558710819,0.4931706898032815,0.4988832254739133,0.5243897645532801,0.5181233796898642,0.5082289685922234,0.5082256223729505,0.5100292327774816,0.5166392978745118,0.46158883848800436
Austria,0.4991497192908892,0.5094588149796744,0.5113146077309149,0.22808740486128162,0.23884540213516142,0.23885669347364086,0.27541709410938936,0.2695390781563126,0.24083999648537036,0.24642389783854518,0.28646444677827887,0.3276583136758857,0.331527689736645,0.3717277486910995,0.47383300873280143,0.4923367016390272,0.5201535508637236,0.5144402619175655,0.50020021653047,0.4895282390142223,0.4917981874135351,0.4769357495881384,0.4750585872112487,0.48717262064163674,0.4978373528663444,0.4865277724291087,0.4804749243380344,0.4639727863106896,0.4480348970558289,0.4465198480310711,0.43972975199802256,0.440034459417882,0.4396802763440644,0.4403707047955468,0.4368993195071437,0.4229427237103441,0.44010296956881495,0.4507222167632898,0.4454466492951159,0.45688486722791743,0.4713258126645965,0.4593344320120276,0.44640632464381724,0.44234641329460994,0.44016473313599674,0.453551912568306,0.4227408517276963
Bahamas,0.5434109068884385,0.5594213430835964,0.4408734701065422,0.16425239381291432,0.16911381962109234,0.17238538380159718,0.22250418443928513,0.2545090180360721,0.23293207978209296,0.2121294165425748,0.25248656329153024,0.2843549508278919,0.32115484354290325,0.36163502176244244,0.44870264497078594,0.466550629341327,0.4820967635184327,0.48280770569069686,0.43791062927313984,0.3931057952724643,0.3689827493718061,0.35337726523887975,0.35051891529963175,0.3599700069626694,0.37062281559248494,0.3581597155363859,0.3542695403918493,0.35058241418410474,0.33657009956807393,0.33540050585757675,0.32849962923292414,0.3159395319262404,0.30512321008977167,0.30542463361149425,0.2956469454174103,0.27532342047345537,0.2718580490944194,0.27287019750417607,0.26504977617425,0.26216520626920947,0.2738099917456075,0.2636925241661125,0.25250803226017965,0.25027604316480007,0.24068320126491516,0.24387913199179864,0.3231204590433923
Bahrain,,,,,,,,,0.18460592215095334,0.17242001714724065,0.1762937336545788,0.20230647385274578,0.20935861234368697,0.21150570869866903,0.25865426902054406,0.2828248642202131,0.2984313985042028,0.27719609021605035,0.2629065507882599,0.2725777405952668,0.2828707755724329,0.3025809994508512,0.28757951121526615,0.29168228804027635,0.29563319362052576,0.2837062425386067,0.2746253660568782,0.25895383064747046,0.24439728626089194,0.23486395817679617,0.22447886627667463,0.2246630976555289,0.21976984716727252,0.21711433702781277,0.2059325997117688,0.19301447563834165,0.1964696147834881,0.20212243293701485,0.19537267703232827,0.19344062004848903,0.2030580558940293,0.20779483621013675,0.2075461093886115,0.20573798632310505,0.20299314224779835,0.20305788267601843,0.23338266878396915
