1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,mean
Afghanistan,0.47431506849315075,0.14640883977900543,0.13611111111111107,0.40874524714828886,0.41132075471698115,0.4130841121495327,0.38447319778188543,0.35897435897435903,0.0,0.011396011396011357,0.0,0.029023746701847004,0.0,0.0,0.0,0.0,0.03293413173652699,0.13069908814589654,0.1519756838905775,0.11320754716981116,0.11320754716981138,0.2526315789473685,0.5652818991097922,0.18207282913165268,0.17045454545454547,0.16944444444444448,0.14986376021798367,0.19354838709677424,0.19893899204244034,0.204724409448819,0.2152230971128608,0.2480818414322251,0.27455919395465994,0.2885572139303483,0.28101265822784816,0.2813299232736573,0.2838541666666668,0.27613941018766763,0.47534516765286,0.25988700564971756,0.2634560906515582,0.2740112994350283,0.26704545454545453,0.24269005847953212,0.22916666666666669,0.22891566265060243,0.22960725075528704,0.21322807347938844
Albania,0.863013698630137,0.7872928176795579,0.7944444444444443,0.865019011406844,0.8698113207547169,0.8747663551401869,0.8780036968576711,0.8791208791208792,0.8192090395480225,0.8176638176638179,0.8200000000000001,0.8364116094986807,0.8418367346938775,0.8373333333333335,0.8360655737704918,0.8236994219653181,0.8233532934131739,0.8267477203647415,0.8297872340425534,0.8238993710691825,0.8207547169811324,0.8447368421052633,0.9109792284866468,0.8263305322128851,0.8210227272727273,0.7638888888888888,0.8092643051771117,0.8091397849462367,0.8037135278514591,0.8031496062992126,0.7952755905511811,0.8005115089514064,0.8085642317380354,0.810945273631841,0.8151898734177216,0.813299232736573,0.8151041666666665,0.8176943699731904,0.8717948717948718,0.8248587570621468,0.8243626062322945,0.8248587570621468,0.8238636363636367,0.8187134502923975,0.8154761904761905,0.816265060240964,0.8126888217522658,0.8270197006928239
Algeria,0.6849315068493151,0.49171270718232035,0.4972222222222222,0.6596958174904942,0.6660377358490566,0.6747663551401869,0.6839186691312386,0.6941391941391942,0.5310734463276836,0.5612535612535612,0.5885714285714289,0.6543535620052772,0.691326530612245,0.7040000000000001,0.7131147540983607,0.7138728323699424,0.721556886227545,0.7294832826747719,0.7416413373860182,0.7452830188679247,0.7515723270440254,0.7947368421052632,0.8827893175074182,0.7759103641456583,0.7784090909090909,0.7777777777777778,0.7765667574931879,0.7849462365591398,0.7904509283819631,0.7926509186351705,0.7926509186351708,0.7979539641943733,0.8186397984886649,0.8233830845771146,0.8253164556962024,0.8260869565217392,0.8281249999999998,0.8284182305630026,0.8757396449704142,0.8248587570621468,0.8186968838526911,0.8192090395480225,0.8153409090909091,0.8099415204678362,0.8065476190476191,0.8072289156626504,0.8096676737160122,0.7442887400223842
Andorra,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9980276134122289,0.9915254237288132,0.9830028328611896,0.9774011299435025,0.9715909090909091,0.9619883040935673,0.9583333333333331,,,0.996485989921412
Angola,0.5308219178082193,0.24033149171270704,0.23333333333333328,0.46958174904942956,0.4679245283018868,0.4691588785046729,0.4713493530499077,0.4725274725274725,0.1864406779661017,0.17948717948717943,0.1771428571428572,0.24274406332453835,0.2653061224489797,0.23199999999999993,0.20765027322404375,0.15317919075144504,0.11676646706586823,0.11246200607902743,0.10942249240121585,0.09748427672955957,0.10062893081761017,0.2078947368421054,0.5712166172106824,0.2072829131652661,0.19602272727272727,0.21388888888888896,0.2234332425068119,0.23118279569892475,0.24668435013262593,0.25459317585301844,0.27034120734908135,0.3017902813299233,0.3299748110831235,0.3532338308457712,0.35443037974683544,0.3631713554987211,0.37239583333333337,0.37265415549597847,0.5522682445759369,0.3785310734463276,0.39093484419263463,0.40960451977401124,0.42329545454545453,0.4210526315789474,0.42857142857142866,0.4246987951807231,0.4259818731117825,0.30767815806291743
Antigua and Barbuda,0.845890410958904,0.7541436464088397,0.7527777777777777,0.8288973384030418,0.8283018867924526,0.8317757009345794,0.833641404805915,0.8424908424908426,0.7711864406779659,0.7806267806267805,0.7914285714285715,0.8232189973614775,0.8290816326530611,0.8240000000000001,0.8251366120218577,0.8208092485549132,0.8203592814371258,0.8206686930091184,0.8267477203647415,0.8270440251572327,0.8270440251572327,0.8526315789473685,0.9154302670623145,0.8347338935574232,0.8238636363636367,0.8277777777777777,0.8283378746594006,0.8225806451612905,0.8116710875331566,0.8188976377952755,0.816272965879265,0.8235294117647057,0.8337531486146097,0.8358208955223883,0.8354430379746836,0.8388746803069055,0.8411458333333331,0.8445040214477213,0.8816568047337278,0.8305084745762712,0.8243626062322945,0.8276836158192088,0.8153409090909091,0.8070175438596493,0.8035714285714284,0.8012048192771086,0.8006042296072505,0.8234572311168412
Argentina,0.8184931506849316,0.7099447513812155,0.7111111111111109,0.8079847908745246,0.8132075471698113,0.8168224299065421,0.8243992606284658,0.8315018315018317,0.7485875706214689,0.7549857549857552,0.7628571428571429,0.783641160949868,0.7933673469387756,0.792,0.792349726775956,0.7832369942196531,0.7784431137724553,0.7750759878419452,0.7750759878419451,0.7735849056603773,0.7767295597484278,0.8131578947368423,0.8961424332344212,0.7983193277310924,0.7926136363636365,0.7916666666666666,0.79291553133515,0.795698924731183,0.7984084880636606,0.8005249343832023,0.7952755905511811,0.8005115089514064,0.8136020151133503,0.8184079601990051,0.8177215189873417,0.8107416879795395,0.8125,0.8123324396782842,0.8619329388560157,0.8050847457627117,0.7988668555240791,0.7966101694915254,0.7954545454545457,0.7865497076023392,0.7857142857142857,0.7831325301204819,0.782477341389728,0.7953141234913592
Armenia,0.827054794520548,0.7292817679558008,0.7333333333333331,0.8212927756653992,0.8245283018867925,0.82803738317757,0.8317929759704252,0.8315018315018317,0.7429378531073444,0.7464387464387466,0.7600000000000002,0.7757255936675461,0.7857142857142856,0.7760000000000001,0.7814207650273224,0.7716763005780349,0.2724550898203593,0.7325227963525833,0.7173252279635259,0.7012578616352201,0.6666666666666669,0.7078947368421055,0.8353115727002968,0.6918767507002801,0.684659090909091,0.7027777777777777,0.7111716621253408,0.7231182795698926,0.7347480106100795,0.7401574803149605,0.7427821522309712,0.7468030690537083,0.7581863979848867,0.7512437810945274,0.7468354430379747,0.7493606138107418,0.7421874999999999,0.7399463806970509,0.8126232741617356,0.7429378531073444,0.7478753541076486,0.7627118644067795,0.7670454545454548,0.7543859649122809,0.7559523809523809,0.753012048192771,0.7522658610271903,0.7449964916139703
Australia,0.9178082191780822,0.8646408839779004,0.8611111111111112,0.9106463878326996,0.911320754716981,0.9158878504672897,0.9186691312384475,0.9212454212454213,0.8841807909604518,0.8888888888888891,0.8914285714285715,0.9076517150395779,0.9107142857142857,0.9093333333333335,0.9125683060109289,0.9104046242774568,0.913173652694611,0.9148936170212763,0.9240121580547113,0.9339622641509435,0.9371069182389937,0.9500000000000002,0.9718100890207715,0.9439775910364145,0.9403409090909093,0.9388888888888888,0.9400544959128064,0.9435483870967744,0.9442970822281168,0.9475065616797901,0.9448818897637796,0.9514066496163681,0.9622166246851386,0.9651741293532337,0.9696202531645569,0.9667519181585679,0.9713541666666664,0.9758713136729221,0.9842209072978304,0.9802259887005649,0.9745042492917846,0.9745762711864405,0.9715909090909091,0.9649122807017543,0.9583333333333331,0.960843373493976,0.960725075528701,0.9365379196647439
Austria,0.8938356164383563,0.8314917127071821,0.8277777777777777,0.8821292775665399,0.8849056603773583,0.8878504672897196,0.8853974121996302,0.8846153846153847,0.8248587570621468,0.829059829059829,0.8342857142857144,0.8522427440633247,0.8596938775510204,0.8613333333333336,0.8661202185792348,0.8641618497109825,0.8712574850299402,0.8723404255319148,0.878419452887538,0.8805031446540881,0.8836477987421387,0.9026315789473683,0.9465875370919881,0.8991596638655464,0.8977272727272729,0.8972222222222221,0.896457765667575,0.9005376344086021,0.9018567639257293,0.9081364829396326,0.9055118110236222,0.9104859335038363,0.9219143576826198,0.9253731343283582,0.9316455696202531,0.9309462915601022,0.9348958333333334,0.9356568364611259,0.9546351084812624,0.9378531073446327,0.934844192634561,0.9350282485875703,0.9346590909090909,0.929824561403509,0.9285714285714284,0.9307228915662652,0.9274924471299092,0.8960916107532036
