1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,0.363,,,,0.358,,,,,,,0.3605
Albania,,,,,,,,,,,,,,,,,,0.254,,,0.185,,,0.124,,,,0.14300000000000002,,,,,,0.1765
Algeria,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,,,,,,,0.055
Angola,,,,,,,,,,,,,,,,,,,,,,,,0.366,,,,,,,,,,0.366
Argentina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.303,,0.303
Armenia,,,,,,,,,,,,,,,,,0.483,,,0.535,0.401,0.302,0.264,0.276,0.341,0.358,0.35,0.324,0.32,0.3,0.298,0.294,,0.34614285714285714
Azerbaijan,,,,,,,,,,,,,,,,,0.496,,,,,,0.158,0.132,0.109,0.091,0.076,0.06,,,,,,0.16028571428571428
Bangladesh,,,,,,,,,,,,,,,,0.489,,,,,0.4,,,,,0.315,,,,,,0.243,,0.36175
Belarus,,,,,,,,,,,,,,,,0.419,0.289,0.305,0.271,0.17800000000000002,0.127,0.111,0.077,0.061,0.054000000000000006,0.052000000000000005,0.073,0.063,0.055,0.048,0.051,0.057,,0.13476470588235295
Benin,,,,,,,,,,,,,,,,,,,,,,0.375,0.33,,,0.35200000000000004,0.36200000000000004,,,,0.401,,,0.36400000000000005
Bhutan,,,,,,,,,,,,,,,,,,,,,,,0.23199999999999998,,,,,0.12,,,,,,0.176
Bolivia,,,,,,,,,,,,,,,,0.664,0.631,0.633,,0.631,0.596,0.599,0.601,0.573,0.513,,0.451,0.433,0.389,0.391,0.386,0.395,,0.5257333333333334
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,0.182,,,,0.179,,,,0.16899999999999998,,,0.17666666666666667
Botswana,0.59,,,,,,,,0.32899999999999996,,,,,,,,,0.306,,,,,,,0.193,,,,,,,,,0.3545
Brazil,,,,,,,,,,,,,,,,,0.247,0.233,0.249,0.22399999999999998,0.21,0.17300000000000001,0.161,0.141,0.133,,0.111,0.09,0.08900000000000001,0.07400000000000001,0.087,,,0.15871428571428572
Bulgaria,,,,,,,,,,,,,,,,0.14,0.16,0.14,,,0.184,0.22,0.214,0.218,0.207,0.222,0.212,0.21,0.218,0.22,0.22899999999999998,0.22899999999999998,,0.20153333333333331
Burkina Faso,,,,,,,,,,,,,,,,,,,0.511,,,,,,0.467,,,,,0.401,,,,0.45966666666666667
Burundi,,,,,,,,,,,,,,,,,,,,,,0.6709999999999999,,,,,,,,0.649,,,,0.6599999999999999
Cambodia,,,,,,,,,,,,,,,,,,,0.502,,,0.45,,0.34,0.239,0.221,0.205,0.177,,,,,,0.3048571428571428
Cameroon,,,,,,,,,,,,0.5329999999999999,,,,,0.402,,,,,,0.39899999999999997,,,,,,,0.375,,,,0.42725
Cape Verde,,,,,,,,,,,,,,,,,0.58,,,,,,0.46,,,,,,,,0.35,,,0.4633333333333334
Central African Republic,,,,,,,,,,,,,,,,,,,,,,,,0.62,,,,,,,,,,0.62
Chad,,,,,,,,,,,,,,,,,,0.5479999999999999,,,,,,,,,0.467,,,,,,,0.5075
Chile,,,0.451,,,0.386,,0.32799999999999996,,0.27699999999999997,,0.23199999999999998,,0.21600000000000003,,0.20199999999999999,,,0.187,,,0.29100000000000004,,,0.253,,0.222,,0.14400000000000002,,0.11699999999999999,,,0.2543076923076923
China,,,,,,,,,,,,,,,,,,,,,,,,,,0.172,0.127,0.102,0.085,0.07200000000000001,0.057,0.045,0.031,0.086375
Colombia,,,,,,,,,,,,,,,,,,0.49700000000000005,0.48,0.474,0.45,,,0.42,0.40299999999999997,0.37200000000000005,0.341,0.327,0.306,0.285,0.278,0.28,,0.3779230769230769
Comoros,,,,,,,,,,,,,,,,,,,,0.44799999999999995,,,,,,,,,,0.42,,,,0.43399999999999994
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,0.693,,,,,,,,0.639,,,,,,0.6659999999999999
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,0.507,,,,,,,0.465,,,,,,,0.486
Costa Rica,,,,,,,,,,,,,,,,,,,,,,,,,,0.212,0.217,0.20600000000000002,0.207,0.22399999999999998,0.217,0.205,0.2,0.211
Cote d'Ivoire,,,,,,,,,,,,,,,,,,0.384,,,,,,0.489,,,,,,,0.46299999999999997,,,0.4453333333333333
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,0.20600000000000002,0.209,0.204,0.195,0.19399999999999998,0.2,0.195,,,0.20042857142857143
Czech Republic,,,,,,,,,,,,,,,,,,,,0.10400000000000001,0.099,0.096,0.09,0.086,0.09,0.098,0.096,0.086,0.09699999999999999,,,,,0.0942
Djibouti,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,,,,,0.23
Dominican Republic,,,,,,,,,,,,,,,,0.321,0.32799999999999996,0.32799999999999996,0.415,0.49700000000000005,0.478,0.442,0.436,0.442,0.42100000000000004,0.41600000000000004,0.40399999999999997,0.41,0.41200000000000003,0.363,0.32299999999999995,0.305,,0.39652941176470585
Ecuador,,,,,,,,,,,,,,,,0.644,0.5489999999999999,,0.499,0.446,0.42200000000000004,0.376,0.36700000000000005,0.35100000000000003,0.36,0.32799999999999996,0.28600000000000003,0.273,0.256,0.225,0.233,0.22899999999999998,0.215,0.3564117647058823
Egypt,,,,,,,,,,,,,,,0.16699999999999998,,,,,0.196,,,,0.21600000000000003,,0.252,,0.263,,,0.278,,,0.22866666666666668
El Salvador,,,,,,,,,,,,,,,,,,,,,0.35200000000000004,0.307,0.34600000000000003,0.4,0.37799999999999995,0.365,0.406,0.345,0.29600000000000004,0.318,0.349,0.382,,0.35366666666666663
Equatorial Guinea,,,,,,,,,,,,,,,,,,,,,,0.768,,,,,,,,,,,,0.768
