1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,mean
Australia,0.35311770590196734,0.31702344546381245,0.3175775480059084,0.3254324349413621,0.3087423758350276,0.2657342657342658,0.2749160134378499,0.25153032832498606,0.223516361619523,0.2449799196787149,0.29756308423839634,0.2641294727525604,0.20476586311997783,0.28760105659169133,0.3120992653739325,0.32374213425938014,0.3058103975535168,0.2593750000000001,0.3162118780096308,0.326988443235894,0.3127723768018773,0.20683007435968054,0.22586967172954436,0.20804369414101292,0.23225030084235862,0.2663799645838603,0.28109854604200324,0.25285828237170965,0.22258799696125603,0.2513513513513514,0.22795079822036118,0.20902341519131928,0.21262656343061348,,0.27599009900990096,0.29268292682926833,0.26870007262164125,0.24927745664739878,0.2896524170994806,0.25822168087697933,0.30379746835443044,0.23446745562130178,0.3270099367660343,0.36773593677359373,,0.2734426855977994
Austria,0.616538846282094,0.5752633367312266,0.5893648449039881,0.6379614444410063,0.5730467615451641,0.5899554990464081,0.5800671892497199,0.5492487479131888,0.547975596228508,0.5769745649263722,0.6433781812287244,0.5827538247566065,0.5428096425602661,0.618453000346861,0.6261973366560237,0.5900676257865741,0.547400611620795,0.5437500000000001,0.550561797752809,0.5377294357579878,0.5306738183037211,0.39686036904434036,0.3875551200391965,0.38679245283018865,0.3670276774969916,0.33974196812547425,0.3511039310716209,0.3406009040148896,0.32894403646492787,0.3324324324324325,0.33786966762627585,0.3232438606510566,0.3329362715902323,0.32655654383735705,0.37706270627062705,0.3762495001999201,0.31372549019607837,0.3135838150289017,0.3527766679984019,0.32602517255379626,0.33092224231464745,0.2529585798816568,0.3270099367660343,0.30264993026499304,0.14443721535458687,0.44709419106872605
Belgium,0.35978659553184394,0.3340129119945634,0.35893648449039883,0.39350806077296774,0.4016845774034272,0.42784488239033697,0.45408734602463596,0.437952142459655,0.44814198557958956,0.45113788487282475,0.49478575674069275,0.4891895309141486,0.45968412302576894,0.5010539235305105,0.4782337824156997,0.4856262565602235,0.43730886850152906,0.39687500000000003,0.4285714285714286,0.40856560163154315,0.42675159235668786,0.4023684935279537,0.3655071043606075,0.371896722939424,0.3381468110709988,0.37768783202630907,0.36995153473344106,0.3299654347248072,0.37199290959736653,0.40810810810810816,0.3771264066998168,0.40605368360936617,0.4014294222751638,0.4123252858958069,0.5132013201320131,0.4722111155537785,0.46623093681917205,0.45447976878612717,0.508589692369157,0.48842874543239956,0.5072332730560579,0.363905325443787,0.4308943089430894,0.44676894467689454,,0.4240509526488664
Bulgaria,0.26642214071357123,0.26265715256540945,0.2968980797636632,0.3285267815700715,0.34940458902120247,0.30387794024157666,0.2917133258678611,0.27378964941569284,0.24847476428175264,0.26104417670682734,0.34889501269789813,0.2767732962447844,0.29897478525907456,0.34363243416313133,0.3380577836617087,0.3550745450272853,0.33639143730886845,0.31875000000000003,0.3194221508828251,0.33038749150237934,0.3898759637948374,0.2977141283393004,0.26996570308672224,0.26266137040714993,0.282791817087846,0.2714394131039716,0.30533117932148623,0.2501994150491891,0.2580400101291466,0.26756756756756755,0.264590421355666,0.2175899486007996,0.2084574151280524,0.20330368487928846,0.2603135313531353,0.2327069172331068,0.2240377632534495,0.19111271676300576,0.2141430283659608,0.16686967113276494,0.21699819168173604,0.1161242603550296,0.1305329719963866,,,0.2709659215553763
Canada,0.34644881627209073,0.3544002718314645,0.3559822747415067,0.35947024785716497,0.3639268080162649,0.35473617291799114,0.3645016797312429,0.31274346132442965,0.295618413754853,0.3065595716198127,0.3651050953693198,0.3551650018965736,0.26295372679412576,0.306278182448838,0.3458453391480415,0.33679730541267394,0.3119266055045871,0.28750000000000003,0.3065810593900482,0.32019034670292323,0.3161247066711364,0.24538694574497383,0.22341989220970115,0.2378351539225422,0.2298435619735259,0.21072603086263597,0.22724824986537429,0.24488168040414782,0.19726513041276272,0.22432432432432434,0.21486521852918086,0.22330097087378645,0.2257296009529482,0.23443456162642948,,,,,,,,,,,,0.29023871791492417
Denmark,0.6432144048016005,0.6432212028542303,0.6514032496307238,0.6472444843271343,0.6108045309323263,0.5994914176732359,0.5408734602463605,0.5798553144129105,0.7060454797559622,0.6546184738955824,0.6920084292429891,0.6156277658363891,0.5899141036298142,0.618453000346861,0.6054305220258028,0.6083448654011855,0.5902140672782874,0.5875000000000001,0.5537720706260032,0.5241332426920463,0.5005028494803888,0.3996144312861471,0.30426261636452717,0.28003972194637533,0.2611311672683514,0.2410827219833038,0.23801830910070004,0.2395639457591066,0.20486199037731073,0.2216216216216216,0.20701387071447264,0.18703597944031986,0.2257296009529482,0.19536213468869126,0.2702145214521452,0.24030387844862056,0.22440087145969495,0.21567919075144504,0.21134638433879346,0.20300446609825412,0.25497287522603984,0.16678994082840237,0.2136404697380307,0.18131101813110181,,0.4124926059787782
Estonia,,,,,,,,,,0.8527443105756359,0.7892689252715189,,,0.7465247205101524,0.6495600031150223,0.5979007284785504,0.6116207951070336,0.6500000000000001,0.7271268057784912,0.7348742352141401,0.8927254441837076,0.8705590746350866,0.8554630083292504,0.8386295928500497,0.7593261131167268,0.7571464710346572,0.736133548734518,0.7075245945227333,0.5138009622689289,0.6081081081081081,0.549856058623397,0.5259851513420902,0.532459797498511,0.44409148665819576,0.4925742574257425,0.5121951219512195,0.4589687726942628,0.48699421965317913,0.44067119456652015,0.39504669102720263,0.46654611211573244,0.32322485207100593,0.5076784101174344,0.4049279404927941,,0.6194017426688365
Finland,0.6865621873957987,0.6704043493034317,0.6691285081240768,0.7029427236439026,0.6950334011036886,0.6757787666878576,0.6248600223964165,0.5687256538675571,0.5729339988907376,0.534136546184739,0.5866428918787486,0.562523707169048,0.5400387919091161,0.5837669094693029,0.6236014848272461,0.6396772761690906,0.7033639143730887,0.7000000000000001,0.8073836276083467,0.813052345343304,0.7787462286288971,0.5896447259708069,0.5418912297893189,0.5357497517378351,0.4608904933814681,0.5117632178092588,0.49111470113085626,0.48152087210848177,0.437832362623449,0.4864864864864865,0.424234493588066,0.43746430611079395,0.4639666468135796,0.4250317662007624,0.6122112211221122,0.5561775289884047,0.5279593318809005,0.5158959537572254,0.5285657211346384,0.464068209500609,0.47558770343580475,0.3860946745562131,0.39476061427280934,,,0.5694933801714948
France,0.3964654884961654,0.3747876316683656,0.3707533234859675,0.4027911006590958,0.39297124600638983,0.3706293706293707,0.3812989921612541,0.3823038397328882,0.38990571270105373,0.40294511378848735,0.4785756740692711,0.46390188392970044,0.42643391521197,0.49838576269377527,0.49900059704592065,0.4751821196375885,0.4587155963302752,0.44375000000000003,0.46388443017656505,0.47654656696125086,0.4770365403955749,0.4023684935279537,0.3581577658010779,0.34458788480635555,0.31889290012033694,0.31950417404502907,0.321486268174475,0.30603562882212176,0.3061534565712839,0.32432432432432434,0.3221669719968594,0.34323243860651065,0.35675997617629546,0.3583227445997459,0.44719471947194717,0.4242303078768493,0.3863471314451706,0.38222543352601157,0.4206951658010387,0.38692651238327247,0.3761301989150091,0.28994082840236685,0.3044263775971093,,,0.39131103741330414
Greece,0.0,0.0,0.05583456425406204,0.050963888974842955,0.06215509729886726,0.0,0.03219484882418812,0.0,0.0,0.02704149933065596,0.0771059599070622,0.07775951447717791,0.0,0.07761679874062809,0.08054928224696935,0.08352698503877386,0.027217125382262997,0.0,0.01926163723916533,0.006458191706322228,0.0,0.0,0.0,0.0,0.0,0.0,0.004577275175013461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.015505969740817997
