1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,mean
Australia,0.34541792547834843,0.32912653603454,0.4648093841642229,0.5329181494661922,0.48551829268292696,0.5242782152230971,0.49999999999999994,0.49466591802358234,0.533132530120482,0.5792563600782779,0.5106861642294713,0.5162192393736018,0.5214473300262621,0.6181599518941671,0.6386292834890965,0.712253475590042,0.7048444016682708,0.7121111846459298,0.5128518971848225,0.5168518345625992,0.46729171105902406,0.4277312825152681,0.45450097847358123,0.4014014014014014,0.47113761674355803,0.4562647754137115,0.4930111348021796,0.44035674470457076,0.4689028651292803,0.5006321112515802,0.4462215113954418,0.43621867881548976,0.4275657650981845,0.4117647058823529,0.3989532331588722,0.37226985924607675,0.5179550681054307,0.6555896863073628,0.618549226064752,0.6125,0.6267286745808347,0.6457014807861189,0.5928110081437798,0.6340713407134072,0.4951698348395138,,0.516143972634838
Austria,0.34541792547834843,0.36898040518100295,0.47580645161290314,0.44839857651245557,0.39405487804878053,0.43897637795275585,0.4375,0.4609769792251545,0.47891566265060254,0.4944553163731246,0.4150731158605174,0.412751677852349,0.46308724832214776,0.4858689116055321,0.4953271028037383,0.5311994827028774,0.5572666025024062,0.5499669093315686,0.4026927784577723,0.4188217720100831,0.426488522969928,0.4028500339289754,0.41291585127201574,0.4694694694694695,0.5611567458084843,0.5508274231678487,0.6019900497512438,0.5317725752508361,0.5411134404845097,0.5680573114201433,0.5161935225909636,0.4798785117691724,0.4627639866617266,0.4221148870105227,0.40739490123248356,0.39330205468370816,0.5577569432159915,0.7517763504917929,0.7667160556098483,0.76875,0.7705299228980541,0.7759137570783999,0.7163718056725639,0.7816728167281675,0.6011218448114677,,0.518098599076943
Bahamas,,0.2460976419794088,0.4134897360703812,0.3727758007117439,0.36737804878048785,0.3700787401574803,0.33984375,0.3683323975294779,0.37048192771084343,0.35420743639921726,0.2829021372328459,0.3064876957494407,0.2967610154654217,0.3505712567648827,0.3613707165109034,,0.4128970163618864,0.39774983454665785,0.3023255813953488,0.311455513023994,0.3471489905744635,0.32368242479077136,0.3737769080234834,0.32332332332332336,0.36086418363902334,0.19836664517515581,0.20090026060175314,0.16833890746934227,0.18006056370836243,0.18584070796460178,0.1563374650139944,0.15129081245254364,0.1502408299370137,0.15473520786613768,0.1727165287860881,0.16680148843229253,0.24818680346718555,0.3204877594712836,0.31275810976955326,0.37812500000000004,0.3421857789744218,0.32168488629137276,0.2951418140971637,0.3480934809348094,0.24275475225927076,,0.29416395068404266
Bhutan,,,,,,,,,,,0.055961754780652406,0.08501118568232663,0.11905456667639336,0.13349368610944073,0.14485981308411217,,0.15206929740134748,0.1326935804103243,0.07001223990208079,0.1095602651479787,0.11253065906216138,0.1162632888486768,0.11007827788649707,0.10930930930930932,0.1477438955778103,0.1154094132817537,0.1544657664060649,0.09520624303232998,0.16375494991847192,0.15781710914454275,0.16133546581367453,0.1528094153378891,0.11782141533901444,0.12627220976367085,0.13607968934661485,0.10402847435690019,0.166814081018928,0.2565701697229203,0.3821127959395983,0.39687500000000003,0.42785460775914824,0.41253066044877823,0.3484976130300477,0.381918819188192,0.21159239638516666,,0.17848259162096525
Brazil,,,,,,,,,0.2831325301204819,0.2759295499021526,0.23790776152980878,0.25894854586129756,0.2092208929092501,0.26037282020444974,0.2710280373831776,0.2854833494988684,0.27590632017965994,0.2895433487756453,0.25581395348837205,0.2164597143123891,0.21861894809381105,0.21284777199728572,0.24902152641878672,,,0.1940683430045132,0.2489931295901445,0.23299888517279818,0.2522711390635919,0.2857142857142857,0.2902838864454218,0.26347760060744113,0.268247499073731,0.2668621700879766,0.2436265406044234,0.23798738068273745,0.323368123120467,0.4166744236557137,0.39787522461460856,0.41875,0.3972585974788888,0.3822487357296431,0.33445661331086773,0.3511685116851169,0.20224368962293549,,0.2802517099983069
Chile,0.288351795904666,0.34241115908336095,0.3988269794721408,0.5640569395017795,0.413109756097561,0.46522309711286086,0.43359374999999994,0.4413250982594048,0.49096385542168686,0.533594259621657,0.46006749156355453,0.43512304250559286,0.4922672891742049,0.4858689116055321,0.4953271028037383,0.5021015195602975,0.4225216554379211,0.4209133024487095,0.2876376988984088,0.34880029875828583,0.35394952192264617,0.34403980999773814,0.34686888454011744,0.27927927927927926,0.3428603578260381,0.3165699548678272,0.34138829661217723,0.27759197324414714,0.3081761006289308,0.31521281078803204,0.30027988804478206,0.2767653758542141,0.2793627269359022,0.2927376229084009,0.3128482188080365,0.3107911341206925,0.3941270122059083,0.4197772192745663,0.5176696825446864,0.565625,0.5594174519642638,0.5033764346061835,0.45240101095197977,0.49261992619926204,0.34247429105640376,,0.3992954441869685
Costa Rica,0.12722390063779793,0.17967452673530387,0.29985337243401755,0.19928825622775806,0.17682926829268292,0.25196850393700787,0.19921874999999997,0.2728804042672656,0.2680722891566265,0.2824527071102414,0.2604049493813273,0.24496644295302014,0.25007295010213015,0.26638604930847865,0.26791277258566976,0.32104752667313285,0.3198588386268848,0.3084050297816016,0.2093023255813953,0.2414340397721968,0.27007630196172655,0.24903867903189328,0.24902152641878672,0.22322322322322322,0.2640936198942275,0.24779712013754565,0.2703150912106136,0.23299888517279818,0.23130677847658979,0.2604298356510746,0.24430227908836466,0.2331055429005315,0.22378658762504633,0.2185613248231844,0.21830153638358937,0.22342662999514645,0.31894569255262695,0.3825436718483353,0.3821127959395983,0.39375000000000004,0.38502019336678506,0.39133331314538355,0.35130581297388375,0.3788437884378844,0.23652228108444995,,0.2672758981090628
Cyprus,,,,0.2437722419928826,0.17301829268292684,0.28149606299212593,0.234375,0.33745087029758564,0.3644578313253013,0.3281148075668624,0.3025871766029246,0.3400447427293065,0.3784651298511819,0.4407696933253157,0.45482866043613707,0.4859359844810863,0.5187680461982676,0.5698213103904699,0.7160342717258261,0.670899075716553,0.6985097768972348,0.7263062655507805,0.8336594911937378,0.6136136136136137,0.6714301789130191,0.6002578981302386,0.6991234304667141,0.6477146042363434,0.7414395527603075,0.7324062368310156,0.6961215513794482,0.6867881548974943,0.6628380881808078,0.6549939623943419,0.674151612358602,0.7637922666235236,1.0,0.6928232337335939,0.7005138551748052,0.7031250000000001,0.6909802961693795,0.6850679829209945,0.6630160067396799,0.6986469864698649,0.557494546587722,,0.5794203283461432
Denmark,0.718026183282981,0.7243440717369644,0.8680351906158358,0.8354092526690393,0.721798780487805,0.7375328083989502,0.80078125,0.7417181358787199,0.7771084337349399,0.7912589693411611,0.6653543307086613,0.6868008948545863,0.7548876568427197,0.8586891160553215,0.9532710280373832,1.0,1.0,1.0,0.6891064871481027,0.6732331248249463,0.6667739639390491,0.6720199049988691,0.7382583170254404,0.6116116116116116,0.6961854394058737,0.6561358263485924,0.7228144989339019,0.6499442586399108,0.6668996040065223,0.6144121365360303,0.5781687325069972,0.5463173880030372,0.5553908855131531,0.5532171813006728,0.5222015870335978,0.550234589872189,0.7191756589421545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8504206918043004,,0.7681675109120006
Dominican Republic,0.21114467942262505,0.2095649285951511,0.3291788856304985,0.363879003558719,0.21875000000000006,0.2585301837270341,0.14453125000000003,0.24761370016844472,0.2349397590361446,0.20743639921722115,0.1361079865016873,0.16219239373601788,0.20338488473883864,0.23301262778111842,0.28660436137071654,0.32104752667313285,0.33589990375360923,0.371277299801456,0.2141982864137087,0.17117916160956026,0.24514102035172344,0.2286812938249265,0.22211350293542076,0.18918918918918917,0.2100821424552718,0.2198581560283688,0.2347784885098318,0.19509476031215162,0.21500116468669925,0.2604298356510746,0.24030387844862053,0.19703872437357628,0.20711374583178957,0.2185613248231844,0.21998986999831163,0.22342662999514645,0.2946223244295064,0.36082410251636715,0.3537404243245799,0.35937500000000006,0.3758413902827072,0.38527692820155657,0.35692221286155573,0.36654366543665445,0.22094110314739793,,0.25469698000780655
