Indicator name,Data provider,Category,Subcategory,Download   View   Visualize
"Adults with HIV (%, age 15-49)",Based on UNAIDS,Health,HIV,  
Age at 1st marriage (women),Various sources,Population,,  
Aged 15+ employment rate (%),International Labour Organization,Work,Employment rate,  
Aged 15+ labour force participation rate (%),International Labour Organization,Work,Labour force participation,  
Aged 15+ unemployment rate (%),International Labour Organization,Work,Unemployment,  
Aged 15-24 employment rate (%),International Labour Organization,Work,Employment rate,  
Aged 15-24 unemployment rate (%),International Labour Organization,Work,Unemployment,  
Aged 15-64 labour force participation rate (%),International Labour Organization,Work,Labour force participation,  
Aged 25-54 labour force participation rate (%),International Labour Organization,Work,Labour force participation,  
Aged 25-54 unemployment rate (%),International Labour Organization,Work,Unemployment,  
Aged 55+ unemployment rate (%),International Labour Organization,Work,Unemployment,  
Aged 65+ labour force participation rate (%),International Labour Organization,Work,Labour force participation,  
Agricultural land (% of land area),World Bank,Environment,Geography,  
Agricultural water withdrawal (% of total),FAO aquastat database,Environment,Water,  
Agriculture (% of GDP),World Bank,Economy,Sectors,  
Agriculture workers (% of labour force),International Labour Organization,Work,Employment by sector,  
Aid given (% of GNI),OECD QWIDS,Economy,Aid given,  
Aid given (2007 US$),OECD QWIDS,Economy,Aid given,  
Aid given per person (2007 US$),OECD QWIDS,Economy,Aid given,  
Aid received (% of GNI),World Bank,Economy,Aid received,  
Aid received per person (current US$),World Bank,Economy,Aid received,  
"Aid received, total (US$, inflation-adjusted)",World Bank,Economy,Aid received,  
Alcohol consumption per adult 15+ (litres),WHO with additions,Health,Risk factors,  
"All causes deaths in children 1-59 months (per 1,000 births)",Lancet,Health,Causes of child deaths,  
All causes deaths in children 1-59 months (total deaths),Lancet,Health,Causes of child deaths,  
"All causes deaths in newborn (per 1,000 births)",Lancet,Health,Causes of newborn deaths,  
All causes deaths in newborn (total deaths),Lancet,Health,Causes of newborn deaths,  
"All forms of TB, deaths per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, detection rate (%)",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, detection rate (%) - DOTS only",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, existing cases per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, new cases per 100,000 - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, new cases per 100,000 - reported",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, number of deaths - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, number of existing cases - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, number of new cases - estimated",World Health Organization,Health,TB (tuberculosis),  
"All forms of TB, number of new cases - reported",World Health Organization,Health,TB (tuberculosis),  
"Alternative GDP per capita PPP, PWT 7.1",PWT 7.1,For advanced users,Alternative GDP data,  
"Alternative GDP per capita PPP, WB",Word Bank,For advanced users,Alternative GDP data,  
"Alternative GDP/capita (PPP$, inflation-adjusted) from PWT",PWT 6.2,For advanced users,Alternative GDP data,  
Alternative poverty (% below nationally defined poverty line),The World Bank,For advanced users,Alternative poverty measures,  
"Annual HIV deaths (number, all ages)",UNAIDS,Health,HIV,  
Armed forces personnel (% of labor force),WDI,Society,War & peace,  
"Armed forces personnel, total",WDI,Society,War & peace,  
"Arms exports (US$, inflation-adjusted)",World Bank,Economy,Debt & trade,  
"Arms imports (US$, inflation adjusted)",World Bank,Economy,Debt & trade,  
ART coverage % (CD4 < 350),UNAIDS,Health,HIV,  
Average age of dollar billionaires (years),Forbes,Economy,Poverty & inequality,  
Bad teeth per child (12 yr),WHO modified,Health,Teeth,  
Battle deaths (per 100 000),WHO,Society,War & peace,  
Biomass stock in forest (tons),FAO - Food and Agriculture Organization,Environment,Forestry,  
"Birth asphyxia deaths in newborn (per 1,000 births)",Lancet,Health,Causes of newborn deaths,  
Birth asphyxia deaths in newborn (total deaths),Lancet,Health,Causes of newborn deaths,  
Births attended by skilled health staff (% of total),World Bank,Health,Maternal health,  
"Blood pressure (SBP), men, mmHg",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
"Blood pressure (SBP), women, mmHg",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
"Body Mass Index (BMI), men, Kg/m2",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
"Body Mass Index (BMI), women, Kg/m2",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
"Breast cancer, deaths per 100,000 women",Based on IARC and WHO data,Health,"Cancer, female",  
"Breast cancer, new cases per 100,000 women",Based on IARC data,Health,"Cancer, female",  
"Breast cancer, number of female deaths",IARC,Health,"Cancer, female",  
"Breast cancer, number of new female cases",IARC,Health,"Cancer, female",  
Broadband subscribers (per 100 people),World Bank,Infrastructure,Communication,  
Broadband subscribers (total),World Bank,Infrastructure,Communication,  
"Burns deaths (per 100,000 people)",WHO,Health,Injuries and accidents,  
"Car deaths (per 100,000 people)",XXX???,For advanced users,"Injury deaths by gender, age, road user",  
"Cars, trucks & buses per 1,000 persons",World Bank,Infrastructure,Traffic,  
Cell phones (per 100 people),World Bank,Infrastructure,Communication,  
Cell phones (total),World Bank,Infrastructure,Communication,  
Central bank discount rate (annual %),UN Statistics Division,Economy,Economic situation,  
"Cervical cancer, deaths per 100,000 women",Based on IARC and WHO data,Health,"Cancer, female",  
"Cervical cancer, new cases per 100,000 women",Based on IARC data,Health,"Cancer, female",  
"Cervical cancer, number of female deaths",IARC,Health,"Cancer, female",  
"Cervical cancer, number of new female cases",IARC,Health,"Cancer, female",  
"Child mortality (0-5 year-olds dying per 1,000 born)",Various sources,,,  
Children and elderly (per 100 adults),UN data,Population,,  
"Children out of school, primary",World Bank,Education,School enrolment,  
"Children out of school, primary, female",World Bank,Education,School enrolment,  
"Children out of school, primary, male",World Bank,Education,School enrolment,  
Children per woman (total fertility),Various sources,,,  
"Children per woman (total fertility), with projections",various sources,For advanced users,Projections,  
"Children per woman, temporary update",Various sources,For advanced users,Alternative demography indicators,  
"Cholesterol (fat) in blood, men, mmol/L",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
"Cholesterol (fat) in blood, women, mmol/L",MRC-HPA Centre for Environment and Health,Health,Risk factors,  
CO2 emissions (tonnes per person),CDIAC (Carbon Dioxide Information Analysis Center),,,  
CO2 intensity of economic output (kg CO2 per 2005 PPP $ of GDP),World Bank,Environment,Emissions,  
"Coal consumption, per person",BP,Energy,Coal,  
"Coal consumption, total",BP,Energy,Coal,  
"Colon&Rectum cancer, deaths per 100,000 men",Based on IARC and WHO data,Health,"Cancer, male",  
"Colon&Rectum cancer, deaths per 100,000 women",Based on IARC and WHO data,Health,"Cancer, female",  
"Colon&Rectum cancer, new cases per 100,000 men",Based on IARC data,Health,"Cancer, male",  
"Colon&Rectum cancer, new cases per 100,000 women",Based on IARC data,Health,"Cancer, female",  
